Trial #,Failure Mode,Total Cost,Time to Objective,Num Comms
650,No Failure,1035.00,256,0
651,No Failure,259.00,63,0
652,No Failure,1411.00,350,0
653,No Failure,351.00,85,0
654,No Failure,3261.00,743,281
655,No Failure,647.00,160,0
656,No Failure,1419.00,352,0
657,No Failure,503.00,123,0
658,No Failure,683.00,169,0
659,No Failure,2771.00,641,197
660,No Failure,1811.00,444,29
661,No Failure,1119.00,277,0
662,No Failure,235.00,57,0
663,No Failure,499.00,122,0
664,No Failure,307.00,74,0
665,No Failure,1439.00,358,0
666,No Failure,271.00,65,0
667,No Failure,691.00,171,0
668,No Failure,1431.00,356,0
669,No Failure,1407.00,349,0
670,No Failure,1271.00,315,0
671,No Failure,3919.00,879,391
672,No Failure,263.00,64,0
673,No Failure,1667.00,415,1
674,No Failure,1937.00,468,59
675,No Failure,2453.00,582,114
676,No Failure,1411.00,350,0
677,Out of Time,4490.00,1000,488
678,No Failure,3335.00,751,320
679,No Failure,679.00,167,0
680,No Failure,475.00,116,0
681,No Failure,595.00,146,0
682,No Failure,1905.00,470,18
683,No Failure,1947.00,485,0
684,No Failure,1051.00,261,0
685,No Failure,419.00,103,0
686,No Failure,1419.00,352,0
687,No Failure,1063.00,263,0
688,No Failure,43.00,8,0
689,Drones got Stuck,4416.00,966,545
690,No Failure,1515.00,377,0
691,No Failure,2059.00,492,81
692,No Failure,2583.00,619,96
693,No Failure,1515.00,376,0
694,No Failure,3567.00,843,189
695,No Failure,1223.00,304,0
696,No Failure,1403.00,348,0
697,No Failure,511.00,125,0
698,No Failure,979.00,242,0
699,No Failure,4093.00,907,457
700,No Failure,471.00,115,0
701,No Failure,1039.00,257,0
702,No Failure,159.00,37,0
703,No Failure,3449.00,770,359
704,No Failure,207.00,49,0
705,Drones got Stuck,3058.00,717,185
706,Out of Time,4516.00,1000,515
707,No Failure,1359.00,337,0
708,Out of Time,4478.00,1000,476
709,No Failure,3921.00,890,352
710,No Failure,107.00,24,0
711,No Failure,0.00,0,0
712,No Failure,1651.00,407,12
713,No Failure,983.00,244,0
714,No Failure,107.00,25,0
715,No Failure,339.00,83,0
716,No Failure,67.00,15,0
717,No Failure,1387.00,344,0
718,No Failure,623.00,153,0
719,No Failure,187.00,44,0
720,No Failure,1159.00,287,0
721,No Failure,1795.00,437,36
722,No Failure,603.00,148,0
723,No Failure,807.00,199,0
724,No Failure,4175.00,965,306
725,No Failure,1243.00,308,0
726,No Failure,1547.00,382,4
727,No Failure,1583.00,393,0
728,No Failure,1179.00,292,0
729,No Failure,359.00,88,0
730,No Failure,311.00,75,0
731,No Failure,1563.00,388,0
732,No Failure,2253.00,540,83
733,No Failure,375.00,92,0
734,No Failure,0.00,0,0
735,No Failure,927.00,229,0
736,Out of Time,4580.00,1000,578
737,No Failure,923.00,229,0
738,No Failure,871.00,213,0
739,No Failure,539.00,132,0
740,No Failure,1643.00,409,0
741,No Failure,491.00,120,0
742,Out of Time,4464.00,1000,463
743,Out of Time,4516.00,1000,515
744,No Failure,331.00,81,0
745,No Failure,1203.00,299,0
746,No Failure,2853.00,671,161
747,Drones got Stuck,4262.00,958,424
748,No Failure,4321.00,951,504
749,No Failure,2871.00,667,184
750,No Failure,243.00,59,0
751,No Failure,3011.00,696,217
752,No Failure,935.00,231,0
753,No Failure,399.00,97,0
754,Out of Time,4472.00,1000,471
755,No Failure,1263.00,313,0
756,No Failure,1231.00,305,0
757,No Failure,223.00,53,0
758,No Failure,811.00,200,0
759,No Failure,207.00,49,0
760,No Failure,411.00,100,0
761,No Failure,175.00,42,0
762,No Failure,715.00,176,0
763,No Failure,3145.00,725,232
764,No Failure,335.00,82,0
765,No Failure,1391.00,345,0
766,No Failure,1707.00,422,8
767,No Failure,1391.00,345,0
768,No Failure,223.00,52,0
769,No Failure,23.00,4,0
770,No Failure,899.00,222,0
771,No Failure,4385.00,984,437
772,No Failure,275.00,67,0
773,No Failure,1431.00,356,0
774,Out of Time,4512.00,1000,509
775,No Failure,495.00,121,0
776,No Failure,1271.00,316,0
777,No Failure,2273.00,551,58
778,No Failure,1151.00,286,0
779,No Failure,3645.00,831,311
780,No Failure,1275.00,316,0
781,No Failure,807.00,199,0
782,No Failure,3203.00,731,268
783,No Failure,1411.00,350,0
784,No Failure,811.00,200,0
785,No Failure,2075.00,507,37
786,No Failure,91.00,20,0
787,No Failure,171.00,41,0
788,No Failure,995.00,246,0
789,Out of Time,4366.00,1000,365
790,No Failure,303.00,74,0
791,Out of Time,4526.00,1000,525
792,No Failure,4025.00,923,324
793,Out of Time,4552.00,1000,551
794,No Failure,1155.00,286,0
795,No Failure,727.00,180,0
796,Out of Time,4492.00,1000,488
797,No Failure,1833.00,448,34
798,No Failure,2449.00,575,137
799,No Failure,379.00,92,0
800,No Failure,115.00,27,0
801,No Failure,559.00,137,0
802,No Failure,611.00,150,0
803,No Failure,319.00,78,0
804,Out of Time,4438.00,1000,434
805,No Failure,1829.00,449,22
806,No Failure,515.00,126,0
807,No Failure,467.00,114,0
808,No Failure,519.00,127,0
809,No Failure,479.00,117,0
810,No Failure,195.00,46,0
811,Out of Time,4364.00,1000,360
812,No Failure,159.00,36,0
813,No Failure,811.00,201,0
814,No Failure,323.00,79,0
815,No Failure,51.00,9,0
816,Out of Time,4366.00,1000,365
817,No Failure,895.00,221,0
818,Out of Time,4562.00,1000,561
819,No Failure,1463.00,363,0
820,Out of Time,4478.00,1000,473
821,No Failure,623.00,152,0
822,No Failure,523.00,128,0
823,No Failure,2329.00,551,113
824,Out of Time,4602.00,1000,601
825,No Failure,15.00,1,0
826,No Failure,1611.00,400,0
827,No Failure,47.00,8,0
828,No Failure,827.00,204,0
829,No Failure,1031.00,255,0
830,No Failure,183.00,43,0
831,No Failure,267.00,65,0
832,No Failure,759.00,187,0
833,No Failure,635.00,156,0
834,No Failure,935.00,231,0
835,No Failure,1611.00,400,0
836,No Failure,1147.00,284,0
837,No Failure,635.00,156,0
838,Out of Time,4402.00,1000,402
839,No Failure,471.00,115,0
840,No Failure,3885.00,873,385
841,No Failure,799.00,198,0
842,No Failure,655.00,161,0
843,No Failure,39.00,6,0
844,No Failure,219.00,52,0
845,No Failure,3855.00,876,345
846,No Failure,1925.00,468,43
847,Out of Time,4550.00,1000,548
848,No Failure,1559.00,386,4
849,No Failure,2041.00,491,70
850,No Failure,1431.00,355,0
851,No Failure,2749.00,657,115
852,Out of Time,4510.00,1000,508
853,No Failure,331.00,80,0
854,No Failure,4107.00,922,411
855,No Failure,119.00,28,0
856,Out of Time,4414.00,1000,413
857,Out of Time,4384.00,1000,383
858,No Failure,1263.00,314,0
859,No Failure,1819.00,443,20
860,Out of Time,4402.00,1000,399
861,No Failure,411.00,100,0
862,No Failure,243.00,58,0
863,Out of Time,4424.00,1000,421
864,No Failure,1483.00,368,0
865,No Failure,2203.00,532,69
866,No Failure,783.00,193,0
867,No Failure,2293.00,549,86
868,No Failure,1171.00,291,0
869,No Failure,1567.00,389,0
870,Out of Time,4504.00,1000,501
