Trial #,Failure Mode,Total Cost,Time to Objective,Num Comms
676,No Failure,723.00,178,0
677,No Failure,727.00,179,0
678,No Failure,984.00,227,20
679,Drones got Stuck,716.00,168,10
680,No Failure,395.00,96,0
681,No Failure,719.00,179,0
682,Drones got Stuck,492.00,105,17
683,Budget runs out,1280.00,290,37
684,Drones got Stuck,908.00,215,12
685,Budget runs out,1284.00,259,99
686,Budget runs out,1280.00,289,47
687,Drones got Stuck,236.00,47,11
688,No Failure,447.00,108,0
689,Drones got Stuck,696.00,136,72
690,Budget runs out,1284.00,286,37
691,Drones got Stuck,1100.00,250,38
692,Out of Time,1208.00,300,4
693,Out of Time,1208.00,300,4
694,Budget runs out,1280.00,293,39
695,No Failure,1212.00,272,33
696,Drones got Stuck,976.00,231,13
697,No Failure,827.00,202,4
698,No Failure,711.00,175,0
699,Out of Time,1232.00,300,14
700,Out of Time,1224.00,300,9
701,Drones got Stuck,1184.00,258,42
702,Out of Time,1208.00,300,4
703,No Failure,763.00,186,0
704,No Failure,764.00,183,9
705,Drones got Stuck,956.00,221,18
706,Budget runs out,1280.00,299,25
707,No Failure,715.00,176,0
708,Budget runs out,1284.00,273,79
709,No Failure,323.00,78,0
710,No Failure,1059.00,256,9
711,No Failure,771.00,189,2
712,Out of Time,1276.00,300,38
713,Out of Time,1236.00,300,12
714,No Failure,863.00,212,2
715,No Failure,259.00,60,0
716,No Failure,467.00,115,0
717,Out of Time,1212.00,300,5
718,Drones got Stuck,472.00,99,36
719,Out of Time,1260.00,300,17
720,Out of Time,1212.00,300,5
721,No Failure,1115.00,269,9
722,Drones got Stuck,984.00,216,31
723,Out of Time,1236.00,300,12
724,Drones got Stuck,1000.00,237,21
725,Drones got Stuck,580.00,111,33
726,No Failure,495.00,123,0
727,Out of Time,1236.00,300,11
728,No Failure,723.00,178,2
729,No Failure,351.00,85,0
730,Drones got Stuck,1188.00,272,26
731,Out of Time,1208.00,300,4
732,Out of Time,1260.00,300,19
733,Out of Time,1248.00,300,22
734,No Failure,968.00,230,13
735,Drones got Stuck,268.00,56,10
736,Drones got Stuck,1172.00,271,23
737,Drones got Stuck,640.00,141,23
738,No Failure,359.00,88,0
739,Drones got Stuck,1100.00,239,36
740,No Failure,31.00,5,0
741,Drones got Stuck,304.00,56,19
742,No Failure,799.00,196,2
743,Budget runs out,1280.00,263,92
